Id	Code	Name	District	ExpenditurePerPupil	InstructionalExpendituresPercentage	CombinedWealthRatio	NeedsIndex	FreeLunchPercentage	ReducedLunchPercentage	LimitedEnglishProficientPercentage	EthnicDiversity	GraduatePercentage	DroppedOutPercentage
450	471400010002	ONEONTA SENIOR HIGH SCHOOL	ONEONTA CITY SCHOOL DISTRICT	18240	77.299261	0.626	5	21	6	0	31.70909438	80.11363636	9.090909091
451	471601040005	UNATEGO JUNIOR-SENIOR HIGH SCHOOL	OTEGO-UNADILLA CENTRAL SCHOOL DISTRICT	20282	65.1937834	0.458	4	34	13	0	38.95510236	92.59259259	3.703703704
452	471701040003	COOPERSTOWN JUNIOR/SENIOR HIGH SCHOOL	COOPERSTOWN CENTRAL SCHOOL DISTRICT	18125	71.3813658	1.141	5	15	8	0	37.42013718	97.43589744	0
453	472001040001	RICHFIELD SPRINGS CENTRAL SCHOOL	RICHFIELD SPRINGS CENTRAL SCHOOL DISTRICT	22055	57.636988	0.576	4	41	12	0	38.86729559	85.10638298	6.382978723
454	472202040001	CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL	CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT	22877	64.3002525	0.691	5	32	13	0	39.8480447	93.33333333	4.444444444
455	472506040001	WORCESTER SCHOOL	WORCESTER CENTRAL SCHOOL DISTRICT	25226	56.543814	0.483	5	31	6	0	39.35818424	82.85714286	11.42857143
456	480101060001	MAHOPAC HIGH SCHOOL	MAHOPAC CENTRAL SCHOOL DISTRICT	23895	78.2410792	0.761	6	5	3	1	33.31516171	95.37037037	1.62037037
457	480102060005	CARMEL HIGH SCHOOL	CARMEL CENTRAL SCHOOL DISTRICT	25152	76.6630565	0.892	5	8	5	1	30.31006434	93.86666667	1.866666667
458	480401040002	HALDANE HIGH SCHOOL	HALDANE CENTRAL SCHOOL DISTRICT	24585	70.2468807	1.355	6	8	1	0	34.63379852	100	0
459	480503040001	PUTNAM VALLEY HIGH SCHOOL	PUTNAM VALLEY CENTRAL SCHOOL DISTRICT	24316	76.054705	0.89	6	10	4	0	33.15066616	93.75	1.25
460	480601060003	BREWSTER HIGH SCHOOL	BREWSTER CENTRAL SCHOOL DISTRICT	25918	73.5370012	1.002	6	12	3	2	28.92576706	95.87301587	1.26984127
461	490101040006	BERLIN HIGH SCHOOL	BERLIN CENTRAL SCHOOL DISTRICT	22632	71.4000911	0.702	5	19	10	0	39.35818424	84.375	9.375
462	490202040002	TAMARAC MIDDLE SCHOOL HIGH SCHOOL	BRUNSWICK CENTRAL SCHOOL DISTRICT (BRITTONKILL)	16376	68.594481	0.64	5	14	5	0	38.46426913	92.23300971	6.796116505
463	490301060007	COLUMBIA HIGH SCHOOL	EAST GREENBUSH CENTRAL SCHOOL DISTRICT	18958	71.6604478	0.765	5	8	3	1	33.99803916	92.77777778	5.833333333
464	490501060003	HOOSICK FALLS JUNIOR/SENIOR HIGH SCHOOL	HOOSICK FALLS CENTRAL SCHOOL DISTRICT	16876	71.828818	0.485	5	26	10	0	39.27552249	94.17475728	0
465	490601060003	LANSINGBURGH SENIOR HIGH SCHOOL	LANSINGBURGH CENTRAL SCHOOL DISTRICT	15193	74.9457572	0.412	3	46	10	1	25.74231277	78.83597884	13.75661376
466	491200010007	RENSSELAER JUNIOR/SENIOR HIGH SCHOOL	RENSSELAER CITY SCHOOL DISTRICT	18726	61.256515	0.562	3	35	6	4	24.516661	84.3373494	13.25301205
467	491302060002	AVERILL PARK HIGH SCHOOL	AVERILL PARK CENTRAL SCHOOL DISTRICT	16799	70.2644497	0.601	5	10	5	0	38.46426913	96.80851064	2.127659574
468	491401040002	HOOSIC VALLEY SENIOR HIGH SCHOOL	HOOSIC VALLEY CENTRAL SCHOOL DISTRICT	18212	68.1234296	0.517	5	14	7	0	39.8480447	95	3
469	491501040002	MAPLE HILL HIGH SCHOOL	SCHODACK CENTRAL SCHOOL DISTRICT	20450	69.4977067	0.638	5	11	3	0	37.42013718	92.15686275	4.901960784
470	491700010019	TROY HIGH SCHOOL	TROY CITY SCHOOL DISTRICT	18822	77.1826061	0.486	3	56	6	2	21.05943969	78.86435331	16.08832808
471	500101060011	CLARKSTOWN NORTH SENIOR HIGH SCHOOL	CLARKSTOWN CENTRAL SCHOOL DISTRICT	20055	78.7910364	1.063	6	6	3	1	25.8585898	95.80052493	2.887139108
472	500101060019	CLARKSTOWN SOUTH SENIOR HIGH SCHOOL	CLARKSTOWN CENTRAL SCHOOL DISTRICT	20055	78.7910364	1.063	6	4	2	1	25.05793288	96.93094629	1.534526854
473	500101060020	BIRCHWOOD SCHOOL	CLARKSTOWN CENTRAL SCHOOL DISTRICT	20055	78.7910364	1.063	6	19	0	0	30.15073244	92.85714286	7.142857143
474	500108030004	NANUET SENIOR HIGH SCHOOL	NANUET UNION FREE SCHOOL DISTRICT	25748	71.6247563	1.103	6	8	2	2	25.96728711	98.4375	0
475	500201060009	NORTH ROCKLAND HIGH SCHOOL	HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND)	24891	74.6768737	0.673	5	35	7	9	19.82674961	85.97359736	10.72607261
476	500301060007	TAPPAN ZEE HIGH SCHOOL	SOUTH ORANGETOWN CENTRAL SCHOOL DISTRICT	23864	78.239179	1.146	6	6	2	2	30.50081966	96.02888087	3.249097473
477	500304030006	NYACK SENIOR HIGH SCHOOL	NYACK UNION FREE SCHOOL DISTRICT	23513	80.9209643	1.208	5	19	3	3	18.18424226	85.78199052	8.530805687
478	500308030008	PEARL RIVER HIGH SCHOOL	PEARL RIVER UNION FREE SCHOOL DISTRICT	22640	77.0005132	0.986	6	3	1	1	35.04092845	97.83783784	1.081081081
