Id	Code	Name	District	ExpenditurePerPupil	InstructionalExpendituresPercentage	CombinedWealthRatio	NeedsIndex	FreeLunchPercentage	ReducedLunchPercentage	LimitedEnglishProficientPercentage	EthnicDiversity	GraduatePercentage	DroppedOutPercentage
541	572702040002	JASPER-TROUPSBURG JUNIOR-SENIOR HIGH SCHOOL	JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT	19905	69.2748782	0.317	4	31	13	0	39.37342589	95.45454545	4.545454545
542	572901040004	HAMMONDSPORT JUNIOR-SENIOR HIGH SCHOOL	HAMMONDSPORT CENTRAL SCHOOL DISTRICT	21564	71.5314784	1.27	5	30	9	0	37.00135133	91.42857143	8.571428571
543	573002040001	WAYLAND-COHOCTON HIGH SCHOOL	WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT	18452	68.7384919	0.388	4	32	15	0	38.78874407	92.5	2.5
544	580101030002	BABYLON JUNIOR-SENIOR HIGH SCHOOL	BABYLON UNION FREE SCHOOL DISTRICT	26805	78.5192592	1.067	6	11	2	1	32.60316958	93.7007874	1.57480315
545	580102030008	WEST BABYLON SENIOR HIGH SCHOOL	WEST BABYLON UNION FREE SCHOOL DISTRICT	22588	80.7801673	0.705	5	23	5	1	28.14723195	95.65217391	2.445652174
546	580103030008	NORTH BABYLON HIGH SCHOOL	NORTH BABYLON UNION FREE SCHOOL DISTRICT	21563	75.9110674	0.644	5	23	10	3	19.89388516	92.45742092	2.676399027
547	580104030010	LINDENHURST SENIOR HIGH SCHOOL	LINDENHURST UNION FREE SCHOOL DISTRICT	21906	78.8368203	0.641	5	17	9	2	30.46582785	94.11764706	4.227941176
548	580105030005	WALTER G O'CONNELL COPIAGUE HIGH SCHOOL	COPIAGUE UNION FREE SCHOOL DISTRICT	21185	78.015148	0.541	3	50	7	14	20.39362646	92.13483146	6.179775281
549	580106030005	AMITYVILLE MEMORIAL HIGH SCHOOL	AMITYVILLE UNION FREE SCHOOL DISTRICT	24470	80.0127976	0.838	3	46	6	10	22.312926	78.88446215	14.34262948
550	580107030007	DEER PARK HIGH SCHOOL	DEER PARK UNION FREE SCHOOL DISTRICT	23151	78.6517504	0.688	5	25	8	2	20.19570912	94.81268012	4.322766571
551	580109020003	WYANDANCH MEMORIAL HIGH SCHOOL	WYANDANCH UNION FREE SCHOOL DISTRICT	26090	75.0917184	0.352	3	61	4	13	26.56815136	74.28571429	16.19047619
552	580201060005	WARD MELVILLE SENIOR HIGH SCHOOL	THREE VILLAGE CENTRAL SCHOOL DISTRICT	23676	74.8541139	1.438	6	5	2	0	33.14010662	98.76923077	0.615384615
553	580203020008	COMSEWOGUE HIGH SCHOOL	BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT	19483	79.5156699	0.659	5	14	4	5	29.56800072	93.78698225	3.550295858
554	580205060019	SACHEM HIGH SCHOOL NORTH	SACHEM CENTRAL SCHOOL DISTRICT	20344	74.8735068	0.724	5	15	5	1	33.16423777	94.32624113	3.90070922
555	580205060020	SACHEM HIGH SCHOOL EAST	SACHEM CENTRAL SCHOOL DISTRICT	20344	74.8735068	0.724	5	14	5	1	33.67343166	94.5709282	3.327495622
556	580206020003	EARL L VANDERMEULEN HIGH SCHOOL	PORT JEFFERSON UNION FREE SCHOOL DISTRICT	30156	74.1299814	2.355	6	4	0	1	34.15113468	98.88888889	1.111111111
557	580207020003	MOUNT SINAI HIGH SCHOOL	MOUNT SINAI UNION FREE SCHOOL DISTRICT	20573	76.9980347	0.908	6	5	1	0	34.59913294	97.19626168	0.934579439
558	580208020003	MILLER PLACE HIGH SCHOOL	MILLER PLACE UNION FREE SCHOOL DISTRICT	21640	75.9912352	0.774	6	7	3	1	35.4142156	97.4789916	2.100840336
559	580209020002	ROCKY POINT HIGH SCHOOL	ROCKY POINT UNION FREE SCHOOL DISTRICT	20938	75.0229508	0.59	5	14	5	1	36.39459667	96.77419355	2.822580645
560	580211060010	NEWFIELD HIGH SCHOOL	MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT	19783	76.0421179	0.644	5	16	9	2	28.98562862	92.82296651	4.545454545
561	580211060016	CENTEREACH HIGH SCHOOL	MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT	19783	76.0421179	0.644	5	13	8	2	30.42148364	89.82630273	5.210918114
562	580212060005	LONGWOOD HIGH SCHOOL	LONGWOOD CENTRAL SCHOOL DISTRICT	22768	78.227813	0.695	5	32	10	2	20.67526703	88.62690707	8.737864078
563	580224030008	PATCHOGUE-MEDFORD HIGH SCHOOL	PATCHOGUE-MEDFORD UNION FREE SCHOOL DISTRICT	20253	75.1943073	0.674	5	30	10	6	25.88242647	89.35483871	8.064516129
564	580232030002	WILLIAM FLOYD HIGH SCHOOL	WILLIAM FLOYD UNION FREE SCHOOL DISTRICT	21125	72.5257858	0.466	5	42	10	2	22.58686934	85.06224066	9.543568465
565	580233020001	CENTER MORICHES HIGH SCHOOL	CENTER MORICHES UNION FREE SCHOOL DISTRICT	23094	76.7574269	0.645	5	13	3	2	30.30291515	94.30894309	4.06504065
566	580235060006	BELLPORT SENIOR HIGH SCHOOL	SOUTH COUNTRY CENTRAL SCHOOL DISTRICT	23965	72.3743437	0.704	5	26	4	3	18.25011415	84.85804416	5.993690852
567	580301020002	EAST HAMPTON HIGH SCHOOL	EAST HAMPTON UNION FREE SCHOOL DISTRICT	32418	73.70531	6.372	6	9	4	8	23.30164515	87.17948718	7.264957265
568	580305020004	PIERSON MIDDLE/HIGH SCHOOL	SAG HARBOR UNION FREE SCHOOL DISTRICT	32785	75.5982118	4.399	6	6	1	2	31.9416134	84.81012658	6.329113924
569	580401020003	ELWOOD/JOHN GLENN HIGH SCHOOL	ELWOOD UNION FREE SCHOOL DISTRICT	22291	76.9891931	0.86	5	12	4	1	27.44934729	97.18309859	1.408450704
570	580402060004	COLD SPRING HARBOR HIGH SCHOOL	COLD SPRING HARBOR CENTRAL SCHOOL DISTRICT	31075	71.3042562	2.587	6	1	0	0	37.90338595	100	0
571	580403030013	HUNTINGTON HIGH SCHOOL	HUNTINGTON UNION FREE SCHOOL DISTRICT	25169	77.1007775	1.405	5	23	3	7	21.96132965	95.25423729	2.033898305
572	580404030009	NORTHPORT SENIOR HIGH SCHOOL	NORTHPORT-EAST NORTHPORT UNION FREE SCHOOL DISTRICT	26126	77.4642957	1.361	6	4	2	1	36.05967277	98.12030075	1.691729323
573	580405060010	HALF HOLLOW HILLS HIGH SCHOOL EAST	HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT	22816	78.7312067	1.219	6	10	3	1	24.29540423	97.59299781	1.312910284
574	580405060016	HALF HOLLOW HILLS HIGH SCHOOL WEST	HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT	22816	78.7312067	1.219	6	9	3	1	24.05618424	96.28647215	1.326259947
575	580406060007	HARBORFIELDS HIGH SCHOOL	HARBORFIELDS CENTRAL SCHOOL DISTRICT	21171	75.4475718	1.024	6	4	1	0	34.02743991	99.66101695	0.338983051
576	580410030017	COMMACK HIGH SCHOOL	COMMACK UNION FREE SCHOOL DISTRICT	22542	75.176887	0.898	6	4	1	0	34.63379852	98.14814815	1.234567901
577	580413030011	WALT WHITMAN HIGH SCHOOL	SOUTH HUNTINGTON UNION FREE SCHOOL DISTRICT	22788	77.4731045	0.905	5	31	4	8	19.53117167	95.52572707	1.789709172
578	580501030006	BAY SHORE SENIOR HIGH SCHOOL	BAY SHORE UNION FREE SCHOOL DISTRICT	23844	79.6604876	0.682	5	32	9	4	17.31665865	93.02788845	4.38247012
579	580502020001	ISLIP HIGH SCHOOL	ISLIP UNION FREE SCHOOL DISTRICT	22467	75.6895805	0.801	5	16	6	2	27.49302942	96.4516129	3.225806452
580	580503030006	EAST ISLIP HIGH SCHOOL	EAST ISLIP UNION FREE SCHOOL DISTRICT	23936	77.5130453	0.748	5	8	3	1	33.72041914	94.72361809	2.763819095
581	580504030004	SAYVILLE HIGH SCHOOL	SAYVILLE UNION FREE SCHOOL DISTRICT	26123	74.6779955	0.852	6	7	3	0	37.44685122	98.63013699	1.369863014
582	580505020004	BAYPORT-BLUE POINT HIGH SCHOOL	BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT	25808	77.8025133	0.816	6	6	1	0	36.36160979	98.59813084	0.46728972
583	580506030007	HAUPPAUGE HIGH SCHOOL	HAUPPAUGE UNION FREE SCHOOL DISTRICT	24052	71.8837813	1.187	6	5	2	0	33.11595789	96.47058824	1.470588235
584	580507060006	CONNETQUOT HIGH SCHOOL	CONNETQUOT CENTRAL SCHOOL DISTRICT	24732	75.0415029	0.871	5	15	5	0	34.18625455	96.72131148	2.003642987
585	580509030012	WEST ISLIP SENIOR HIGH SCHOOL	WEST ISLIP UNION FREE SCHOOL DISTRICT	22279	75.8234912	0.776	6	5	2	0	37.50599952	99.33184855	0.668151448
586	580512030018	BRENTWOOD HIGH SCHOOL	BRENTWOOD UNION FREE SCHOOL DISTRICT	19144	78.6338781	0.343	3	52	8	20	29.22156738	80.65268065	10.17871018
587	580512030026	FRESHMAN CENTER	BRENTWOOD UNION FREE SCHOOL DISTRICT	19144	78.6338781	0.343	3	61	13	9	28.81492669	0	83.33333333
588	580513030006	CENTRAL ISLIP SENIOR HIGH SCHOOL	CENTRAL ISLIP UNION FREE SCHOOL DISTRICT	26752	75.4988006	0.49	3	52	8	17	25.11374126	74.12587413	17.01631702
589	580601040005	SHOREHAM-WADING RIVER HIGH SCHOOL	SHOREHAM-WADING RIVER CENTRAL SCHOOL DISTRICT	26467	68.1206269	0.914	6	3	1	0	36.45088019	97.11538462	1.442307692
590	580602040008	RIVERHEAD SENIOR HIGH SCHOOL	RIVERHEAD CENTRAL SCHOOL DISTRICT	20802	80.5776645	1.035	5	34	5	9	20.21633003	80.78947368	12.63157895
591	580701020001	SHELTER ISLAND SCHOOL	SHELTER ISLAND UNION FREE SCHOOL DISTRICT	37764	73.4087412	7.789	6	10	2	3	32.8004065	95.45454545	4.545454545
592	580801060014	SMITHTOWN HIGH SCHOOL EAST	SMITHTOWN CENTRAL SCHOOL DISTRICT	20845	74.3337635	1.05	6	4	1	1	36.46185221	97.84688995	1.674641148
593	580801060022	SMITHTOWN HIGH SCHOOL-WEST	SMITHTOWN CENTRAL SCHOOL DISTRICT	20845	74.3337635	1.05	6	3	1	0	36.53354623	97.97297297	0.900900901
594	580805060004	KINGS PARK HIGH SCHOOL	KINGS PARK CENTRAL SCHOOL DISTRICT	20855	78.7515408	0.949	6	3	1	1	37.50599952	95.75163399	0.653594771
595	580902020001	WESTHAMPTON BEACH SENIOR HIGH SCHOOL	WESTHAMPTON BEACH UNION FREE SCHOOL DISTRICT	27020	74.3003	3.372	6	12	5	3	30.62515306	93.79844961	4.651162791
596	580905020001	HAMPTON BAYS HIGH SCHOOL	HAMPTON BAYS UNION FREE SCHOOL DISTRICT	23079	72.4180085	1.401	5	18	5	9	24.61503606	91.86046512	4.651162791
597	580906030003	SOUTHAMPTON HIGH SCHOOL	SOUTHAMPTON UNION FREE SCHOOL DISTRICT	35721	71.0297469	9.208	6	25	8	7	21.08474962	88.75	5
598	580909020001	BRIDGEHAMPTON SCHOOL	BRIDGEHAMPTON UNION FREE SCHOOL DISTRICT	69619	71.6954928	24	6	41	14	13	16.99901958	85.71428571	0
599	580912060001	EASTPORT-SOUTH MANOR JUNIOR SENIOR HIGH SCHOOL	EASTPORT-SOUTH MANOR CSD	23238	70.3905161	0.659	6	9	3	0	37.0175634	96.38157895	2.302631579
600	581004020001	FISHERS ISLAND SCHOOL	FISHERS ISLAND UNION FREE SCHOOL DISTRICT	44083	69.9547046	17.412	6	0	0	0	38.88272967	66.66666667	11.11111111
601	581005020003	SOUTHOLD JUNIOR-SENIOR HIGH SCHOOL	SOUTHOLD UNION FREE SCHOOL DISTRICT	32991	71.4748515	2.293	6	12	5	4	33.77967831	94.02985075	4.47761194
602	581010020001	GREENPORT HIGH SCHOOL	GREENPORT UNION FREE SCHOOL DISTRICT	21735	77.9341471	1.852	5	34	6	7	22.692877	75	17.1875
603	581012020001	MATTITUCK JUNIOR-SENIOR HIGH SCHOOL	MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT	26526	73.9197766	1.927	6	11	1	4	35.02951137	94.48818898	3.149606299
604	590501060002	FALLSBURG JUNIOR SENIOR HIGH SCHOOL	FALLSBURG CENTRAL SCHOOL DISTRICT	29221	71.3576071	0.558	4	46	4	6	20.12709616	87.23404255	6.382978723
605	590801040001	ELDRED JUNIOR-SENIOR HIGH SCHOOL	ELDRED CENTRAL SCHOOL DISTRICT	20929	70.2883543	0.954	5	21	8	0	35.5283924	88	8
606	590901060006	LIBERTY MIDDLE/HIGH SCHOOL	LIBERTY CENTRAL SCHOOL DISTRICT	27041	69.0108401	0.492	4	46	11	3	22.63109955	81.55339806	12.62135922
607	591201040003	TRI-VALLEY SECONDARY SCHOOL	TRI-VALLEY CENTRAL SCHOOL DISTRICT	25713	69.4953866	0.853	5	17	6	0	35.9870347	83.90804598	9.195402299
608	591301040001	ROSCOE CENTRAL SCHOOL	ROSCOE CENTRAL SCHOOL DISTRICT	29096	69.1138539	0.996	5	36	10	1	34.30889098	93.33333333	0
609	591302040004	LIVINGSTON MANOR HIGH SCHOOL	LIVINGSTON MANOR CENTRAL SCHOOL DISTRICT	27227	70.4947937	0.797	4	38	9	0	32.84356862	91.17647059	2.941176471
610	591401060005	MONTICELLO HIGH SCHOOL	MONTICELLO CENTRAL SCHOOL DISTRICT	24366	77.811258	0.73	4	33	15	1	20.29449843	79.83539095	12.34567901
611	591502040004	SULLIVAN WEST HIGH SCHOOL AT LAKE HUNTINGTON	SULLIVAN WEST CENTRAL SCHOOL DISTRICT	28995	62.2465161	0.951	5	22	9	0	34.51183372	90.09009009	7.207207207
612	600101060006	WAVERLY HIGH SCHOOL	WAVERLY CENTRAL SCHOOL DISTRICT	16309	75.8475299	0.368	4	32	8	0	38.87244097	82.01438849	16.54676259
613	600301040002	CANDOR JUNIOR-SENIOR HIGH SCHOOL	CANDOR CENTRAL SCHOOL DISTRICT	19470	63.3803856	0.357	4	34	11	0	36.43441596	88.67924528	11.32075472
614	600402040004	NEWARK VALLEY SENIOR HIGH SCHOOL	NEWARK VALLEY CENTRAL SCHOOL DISTRICT	18458	69.2385403	0.395	5	33	10	0	39.35818424	93.63636364	3.636363636
615	600601060007	OWEGO FREE ACADEMY	OWEGO-APALACHIN CENTRAL SCHOOL DISTRICT	18347	70.545396	0.488	5	29	9	0	37.81225551	92.07317073	3.048780488
616	600801040002	SPENCER-VAN ETTEN HIGH SCHOOL	SPENCER-VAN ETTEN CENTRAL SCHOOL DISTRICT	19686	67.3742698	0.438	4	29	13	0	39.36326545	84.41558442	9.090909091
617	600903040001	TIOGA SENIOR HIGH SCHOOL	TIOGA CENTRAL SCHOOL DISTRICT	15851	61.6952911	0.375	4	37	9	0	39.35818424	94.87179487	3.846153846
618	610301060003	DRYDEN HIGH SCHOOL	DRYDEN CENTRAL SCHOOL DISTRICT	19309	71.4399104	0.5	5	25	6	0	36.91973275	82.26950355	11.34751773
619	610501040001	GROTON JUNIOR/SENIOR HIGH SCHOOL	GROTON CENTRAL SCHOOL DISTRICT	19498	68.2542949	0.41	5	33	12	0	38.87244097	77.17391304	10.86956522
620	610600010017	ITHACA SENIOR HIGH SCHOOL	ITHACA CITY SCHOOL DISTRICT	21084	71.0793465	0.93	5	20	3	2	25.1130776	90.65155807	4.249291785
621	610801040002	LANSING HIGH SCHOOL	LANSING CENTRAL SCHOOL DISTRICT	21767	69.4499731	0.84	5	14	4	0	36.34510513	94.04761905	0
622	610901040003	NEWFIELD SENIOR HIGH SCHOOL	NEWFIELD CENTRAL SCHOOL DISTRICT	20279	69.1799565	0.392	4	35	8	0	36.03146773	82.85714286	8.571428571
623	611001040002	CHARLES O DICKERSON HIGH SCHOOL	TRUMANSBURG CENTRAL SCHOOL DISTRICT	22994	61.8334836	0.528	5	18	7	0	36.91973275	95.65217391	2.173913043
624	620600010022	KINGSTON HIGH SCHOOL	KINGSTON CITY SCHOOL DISTRICT	22674	81.710275	0.706	5	37	8	1	25.40406792	79.7731569	14.5557656
625	620803040002	HIGHLAND HIGH SCHOOL	HIGHLAND CENTRAL SCHOOL DISTRICT	19199	76.7623234	0.718	5	22	11	0	28.29605391	92.81437126	5.389221557
626	620901060001	RONDOUT VALLEY HIGH SCHOOL	RONDOUT VALLEY CENTRAL SCHOOL DISTRICT	26702	76.8368173	0.887	5	27	10	1	36.45636661	87.28323699	8.092485549
627	621001060005	MARLBORO CENTRAL HIGH SCHOOL	MARLBORO CENTRAL SCHOOL DISTRICT	27844	65.4416798	0.859	5	19	6	0	32.20972938	94.17989418	3.703703704
628	621101060005	NEW PALTZ SENIOR HIGH SCHOOL	NEW PALTZ CENTRAL SCHOOL DISTRICT	22273	74.984023	0.909	5	17	3	1	30.72892232	98.27586207	0.574712644
629	621201060005	ONTEORA HIGH SCHOOL	ONTEORA CENTRAL SCHOOL DISTRICT	32922	77.325247	1.832	5	26	9	0	34.54706934	93.28358209	5.223880597
630	621601060007	SAUGERTIES SENIOR HIGH SCHOOL	SAUGERTIES CENTRAL SCHOOL DISTRICT	19314	79.3980828	0.703	5	24	13	1	34.1335612	77.86259542	14.1221374
631	621801060005	WALLKILL SENIOR HIGH SCHOOL	WALLKILL CENTRAL SCHOOL DISTRICT	18847	78.1695689	0.56	5	15	5	1	28.5002924	85.85858586	12.45791246
632	622002060004	ELLENVILLE HIGH SCHOOL	ELLENVILLE CENTRAL SCHOOL DISTRICT	23455	74.4338562	0.574	4	38	6	2	22.0151463	87.14285714	7.142857143
633	630101040001	BOLTON CENTRAL SCHOOL	BOLTON CENTRAL SCHOOL DISTRICT	39380	66.40482	4.214	6	19	3	0	37.90338595	95.83333333	0
634	630202040001	NORTH WARREN CENTRAL SCHOOL	NORTH WARREN CENTRAL SCHOOL DISTRICT	20088	70.8189103	1.865	5	42	10	1	38.38055063	91.89189189	5.405405405
635	630300010007	GLENS FALLS SENIOR HIGH SCHOOL	GLENS FALLS CITY SCHOOL DISTRICT	18734	77.9801481	0.633	5	29	8	0	35.47205473	77.20207254	6.21761658
636	630601040001	JOHNSBURG CENTRAL SCHOOL	JOHNSBURG CENTRAL SCHOOL DISTRICT	28466	73.6401416	1.231	5	33	16	0	38.87244097	90.47619048	4.761904762
637	630701040003	LAKE GEORGE JUNIOR-SENIOR HIGH SCHOOL	LAKE GEORGE CENTRAL SCHOOL DISTRICT	21333	79.2924781	2.377	5	15	4	0	38.47466699	87.64044944	4.494382022
638	630801040001	HADLEY-LUZERNE HIGH SCHOOL	HADLEY-LUZERNE CENTRAL SCHOOL DISTRICT	20613	73.6654544	0.882	4	33	5	0	38.79905497	81.70731707	13.41463415
639	630902030002	QUEENSBURY SENIOR HIGH SCHOOL	QUEENSBURY UNION FREE SCHOOL DISTRICT	15724	68.9107221	0.654	5	15	4	0	37.89810901	89.18032787	5.245901639
640	631201040001	WARRENSBURG JUNIOR-SENIOR HIGH SCHOOL	WARRENSBURG CENTRAL SCHOOL DISTRICT	24087	75.3979595	0.61	5	31	12	0	38.22564584	85.24590164	9.836065574
641	640101040001	ARGYLE JUNIOR/SENIOR HIGH SCHOOL	ARGYLE CENTRAL SCHOOL DISTRICT	19504	75.9846673	0.503	5	20	10	0	38.38055063	85.18518519	12.96296296
642	640502040001	FORT ANN CENTRAL SCHOOL	FORT ANN CENTRAL SCHOOL DISTRICT	22477	66.2878411	0.656	5	22	11	0	37.91393763	97.95918367	2.040816327
643	640601020001	FORT EDWARD SCHOOL	FORT EDWARD UNION FREE SCHOOL DISTRICT	18070	73.6533717	0.432	5	42	11	0	37.49533304	82.85714286	8.571428571
644	640701040003	GRANVILLE JUNIOR-SENIOR HIGH SCHOOL	GRANVILLE CENTRAL SCHOOL DISTRICT	20466	72.2792558	0.404	4	32	7	0	39.35818424	89.3442623	9.016393443
645	640801040002	GREENWICH JUNIOR-SENIOR HIGH SCHOOL	GREENWICH CENTRAL SCHOOL DISTRICT	17724	72.1369642	0.619	5	14	3	0	39.43982759	93.40659341	1.098901099
646	641001040001	HARTFORD CENTRAL SCHOOL	HARTFORD CENTRAL SCHOOL DISTRICT	22710	65.3639424	0.475	5	27	6	0	38.87244097	75.67567568	8.108108108
647	641301060001	HUDSON FALLS HIGH SCHOOL	HUDSON FALLS CENTRAL SCHOOL DISTRICT	17068	68.2820321	0.406	4	21	6	0	38.45906915	79.03225806	12.3655914
648	641501040001	SALEM HIGH SCHOOL	SALEM CENTRAL SCHOOL DISTRICT	18894	73.231301	0.654	5	27	13	0	37.42548152	88.33333333	10
649	641610040003	CAMBRIDGE JUNIOR-SENIOR HIGH SCHOOL	CAMBRIDGE CENTRAL SCHOOL DISTRICT	19578	71.1016037	0.613	5	23	11	0	38.38576125	84.21052632	7.01754386
650	641701060002	WHITEHALL JUNIOR-SENIOR HIGH SCHOOL	WHITEHALL CENTRAL SCHOOL DISTRICT	17364	74.3426334	0.572	4	24	5	0	38.87244097	74.35897436	16.66666667
651	650101060006	NEWARK SENIOR HIGH SCHOOL	NEWARK CENTRAL SCHOOL DISTRICT	19112	70.9797405	0.378	4	35	11	1	30.30291515	91.08280255	7.643312102
652	650301040003	CLYDE-SAVANNAH HIGH SCHOOL	CLYDE-SAVANNAH CENTRAL SCHOOL DISTRICT	22008	61.8581108	0.315	4	26	14	0	33.73277338	83.33333333	9.722222222
653	650501040002	LYONS SENIOR HIGH SCHOOL	LYONS CENTRAL SCHOOL DISTRICT	21229	75.2124763	0.334	4	37	13	0	30.32930376	91.89189189	6.756756757
654	650701040002	MARION JUNIOR-SENIOR HIGH SCHOOL	MARION CENTRAL SCHOOL DISTRICT	19824	69.2489501	0.428	5	21	13	0	36.94680861	89.65517241	6.896551724
655	650801060003	WAYNE SENIOR HIGH SCHOOL	WAYNE CENTRAL SCHOOL DISTRICT	17445	74.3393688	0.6	5	15	10	1	37.80696585	93.10344828	0.985221675
656	650901060001	PALMYRA-MACEDON SENIOR HIGH SCHOOL	PALMYRA-MACEDON CENTRAL SCHOOL DISTRICT	17646	74.365614	0.437	5	19	9	0	36.92514951	89.17197452	8.917197452
657	650902040001	RUBEN A CIRILLO HIGH SCHOOL	GANANDA CENTRAL SCHOOL DISTRICT	18162	63.9224636	0.439	5	12	4	0	37.3385413	97.91666667	1.041666667
658	651201060003	SODUS HIGH SCHOOL	SODUS CENTRAL SCHOOL DISTRICT	22579	68.0546662	0.424	4	26	8	2	26.79303392	90.32258065	5.376344086
659	651402040002	WILLIAMSON SENIOR HIGH SCHOOL	WILLIAMSON CENTRAL SCHOOL DISTRICT	19975	73.0927564	0.476	5	22	9	1	35.03522037	82.4742268	12.37113402
660	651501060005	NORTH ROSE-WOLCOTT HIGH SCHOOL	NORTH ROSE-WOLCOTT CENTRAL SCHOOL DISTRICT	19040	72.0159848	0.442	4	39	14	1	37.03916846	86.61417323	9.448818898
661	651503040003	RED CREEK HIGH SCHOOL	RED CREEK CENTRAL SCHOOL DISTRICT	19401	65.9203801	0.361	4	33	12	0	38.87244097	89.85507246	2.898550725
662	660101030004	JOHN JAY HIGH SCHOOL	KATONAH-LEWISBORO UNION FREE SCHOOL DISTRICT	32500	72.5628536	1.846	6	2	1	1	33.56585567	97.59450172	1.374570447
663	660102060006	FOX LANE HIGH SCHOOL	BEDFORD CENTRAL SCHOOL DISTRICT	27618	73.7463482	2.347	6	7	14	7	24.79852146	92.52077562	3.324099723
664	660202030003	CROTON-HARMON HIGH SCHOOL	CROTON-HARMON UNION FREE SCHOOL DISTRICT	24031	67.3779441	1.381	6	0	0	1	31.85435606	100	0
665	660203060005	HENDRICK HUDSON HIGH SCHOOL	HENDRICK HUDSON CENTRAL SCHOOL DISTRICT	27831	75.1502937	1.252	6	11	5	1	25.12104032	92.85714286	4.017857143
666	660301030006	EASTCHESTER SENIOR HIGH SCHOOL	EASTCHESTER UNION FREE SCHOOL DISTRICT	23999	76.6520563	1.291	6	0	0	0	29.83733679	96.875	1.785714286
667	660302030002	TUCKAHOE HIGH SCHOOL	TUCKAHOE UNION FREE SCHOOL DISTRICT	26899	72.3672503	1.449	6	14	10	1	22.91433321	96.55172414	2.298850575
668	660303030002	BRONXVILLE HIGH SCHOOL	BRONXVILLE UNION FREE SCHOOL DISTRICT	28228	73.1882248	3.469	6	0	0	1	36.48378635	100	0
669	660401030003	SLEEPY HOLLOW HIGH SCHOOL	UNION FREE SCHOOL DISTRICT OF THE TARRYTOWNS	23547	72.5789837	1.03	5	44	9	14	22.96736816	89.04109589	5.936073059
670	660402020001	IRVINGTON HIGH SCHOOL	IRVINGTON UNION FREE SCHOOL DISTRICT	29238	70.0967239	1.767	6	5	2	1	30.7224131	100	0
671	660403030002	DOBBS FERRY HIGH SCHOOL	DOBBS FERRY UNION FREE SCHOOL DISTRICT	28375	73.8063567	1.324	6	10	5	0	24.67927606	96.33027523	1.834862385
672	660404030003	HASTINGS HIGH SCHOOL	HASTINGS-ON-HUDSON UNION FREE SCHOOL DISTRICT	26108	80.0903735	1.187	6	4	1	1	27.94756996	99.18699187	0.81300813
673	660405030001	ARDSLEY HIGH SCHOOL	ARDSLEY UNION FREE SCHOOL DISTRICT	27436	77.9192846	1.225	6	3	1	0	27.7686874	96.64804469	0.558659218
674	660406030003	EDGEMONT JUNIOR-SENIOR HIGH SCHOOL	EDGEMONT UNION FREE SCHOOL DISTRICT	24564	79.4121954	1.603	6	0	0	1	22.62447053	100	0
675	660407060004	WOODLANDS SENIOR HIGH SCHOOL	GREENBURGH CENTRAL SCHOOL DISTRICT	30900	75.8742517	2.227	5	35	8	4	21.13448998	92.91338583	4.724409449
676	660409020003	ALEXANDER HAMILTON HIGH SCHOOL	ELMSFORD UNION FREE SCHOOL DISTRICT	29033	76.8402636	1.434	5	25	6	12	20.22539658	93.10344828	1.724137931
677	660501060004	HARRISON HIGH SCHOOL	HARRISON CENTRAL SCHOOL DISTRICT	28378	77.8190768	3.504	6	8	4	3	28.507309	97.34848485	1.893939394
678	660701030006	MAMARONECK HIGH SCHOOL	MAMARONECK UNION FREE SCHOOL DISTRICT	24356	75.692564	2.21	6	12	3	2	28.38074465	96.55172414	3.183023873
679	660801060006	WESTLAKE HIGH SCHOOL	MOUNT PLEASANT CENTRAL SCHOOL DISTRICT	26224	75.6054846	1.32	6	6	3	1	32.64608195	100	0
680	660805030004	VALHALLA HIGH SCHOOL	VALHALLA UNION FREE SCHOOL DISTRICT	27405	75.5294219	1.302	6	9	1	2	23.06223464	98.0952381	0.952380952
681	660809030003	PLEASANTVILLE HIGH SCHOOL	PLEASANTVILLE UNION FREE SCHOOL DISTRICT	25761	76.9102435	1.124	6	3	1	1	33.60753884	98.68421053	0
682	660900010013	MOUNT VERNON HIGH SCHOOL	MOUNT VERNON SCHOOL DISTRICT	24837	76.777618	0.642	3	55	8	4	31.21965193	70.39274924	16.01208459
683	660900010025	NELSON R MANDELA/DR HOSEA ZOLLICOFFER HIGH SCHOOL	MOUNT VERNON SCHOOL DISTRICT	24837	76.777618	0.642	3	53	6	2	35.09225936	45.63106796	37.86407767
684	660900010026	THORNTON HIGH SCHOOL	MOUNT VERNON SCHOOL DISTRICT	24837	76.777618	0.642	3	60	7	4	31.12341027	87.89808917	8.917197452
685	661004060004	HORACE GREELEY HIGH SCHOOL	CHAPPAQUA CENTRAL SCHOOL DISTRICT	28248	75.9892043	2.11	6	1	1	0	32.69709467	98.68852459	0.327868852
686	661100010016	NEW ROCHELLE HIGH SCHOOL	NEW ROCHELLE CITY SCHOOL DISTRICT	22189	77.6055291	1.204	5	32	6	5	17.71722326	84.93317132	5.953827461
