9868866,HX519492,11/24/2014 11:00:00 PM,018XX S KEDZIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,true,false,1022,010,24,29,18,1155345,1891291,2014,12/01/2014 12:41:33 PM,41.857505952,-87.7052749,"(41.857505952; -87.7052749)"
9868905,HX519497,11/24/2014 11:00:00 PM,053XX W NORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,2532,025,37,25,08B,1140678,1910163,2014,12/01/2014 12:41:33 PM,41.909574884,-87.758648153,"(41.909574884; -87.758648153)"
9868874,HX519493,11/24/2014 10:50:00 PM,0000X W CHECKPOINT 10 ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,false,false,1655,016,41,76,26,1104633,1933650,2014,12/01/2014 12:41:33 PM,41.974613186,-87.89062027,"(41.974613186; -87.89062027)"
9868908,HX519494,11/24/2014 10:45:00 PM,044XX S INDIANA AVE,0560,ASSAULT,SIMPLE,STREET,false,false,0215,002,3,38,08A,1178388,1875395,2014,12/01/2014 12:41:33 PM,41.813392463,-87.621177939,"(41.813392463; -87.621177939)"
9868846,HX519489,11/24/2014 10:45:00 PM,048XX W VAN BUREN ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1533,015,24,25,18,1143957,1897608,2014,12/01/2014 12:41:33 PM,41.875061592,-87.746917584,"(41.875061592; -87.746917584)"
9868848,HX519486,11/24/2014 10:38:00 PM,049XX N MILWAUKEE AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER RAILROAD PROP / TRAIN DEPOT,true,false,1623,016,45,11,26,1139458,1932238,2014,12/01/2014 12:41:33 PM,41.970173254,-87.76259005,"(41.970173254; -87.76259005)"
9868891,HX519481,11/24/2014 10:30:00 PM,008XX W 58TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0712,007,16,68,14,1171597,1866348,2014,12/01/2014 12:41:33 PM,41.788718269,-87.646352793,"(41.788718269; -87.646352793)"
9869872,HX520149,11/24/2014 10:30:00 PM,011XX N MASON AVE,0261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,ALLEY,false,false,1511,015,29,25,02,1136446,1907057,2014,12/01/2014 12:41:33 PM,41.901128394,-87.774269314,"(41.901128394; -87.774269314)"
9869849,HX519972,11/24/2014 10:30:00 PM,021XX S MICHIGAN AVE,0810,THEFT,OVER $500,STREET,false,false,0131,001,2,33,06,1177497,1890237,2014,12/01/2014 12:41:33 PM,41.854140276,-87.623996591,"(41.854140276; -87.623996591)"
9868873,HX519484,11/24/2014 10:30:00 PM,068XX S CLYDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0331,003,5,43,08B,1191348,1860101,2014,12/01/2014 12:41:33 PM,41.771120154,-87.574136146,"(41.771120154; -87.574136146)"
9869810,HX520110,11/24/2014 10:30:00 PM,099XX S DAMEN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2213,022,19,72,14,1164826,1838401,2014,12/01/2014 12:41:33 PM,41.712173444,-87.671967339,"(41.712173444; -87.671967339)"
9869253,HX519620,11/24/2014 10:30:00 PM,072XX S STONY ISLAND AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,0324,003,5,43,08B,1188018,1857528,2014,12/01/2014 12:41:33 PM,41.764139635,-87.586424434,"(41.764139635; -87.586424434)"
9868836,HX519470,11/24/2014 10:30:00 PM,116XX S PRINCETON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0522,005,34,53,08B,1176334,1827615,2014,12/01/2014 12:41:33 PM,41.682324791,-87.630144349,"(41.682324791; -87.630144349)"
9868902,HX519476,11/24/2014 10:30:00 PM,112XX S VERNON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0531,005,9,49,08B,1181203,1830532,2014,12/01/2014 12:41:33 PM,41.690219015,-87.612231677,"(41.690219015; -87.612231677)"
9868850,HX519482,11/24/2014 10:20:00 PM,002XX W NORTH AVE,0820,THEFT,$500 AND UNDER,RESTAURANT,false,false,1814,018,43,7,06,1174283,1911030,2014,12/01/2014 12:41:33 PM,41.91126978,-87.635172248,"(41.91126978; -87.635172248)"
9868893,HX519472,11/24/2014 10:11:00 PM,007XX W 69TH ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,true,false,0723,007,6,68,26,1172191,1859149,2014,12/01/2014 12:41:33 PM,41.768950337,-87.644386291,"(41.768950337; -87.644386291)"
9868867,HX519463,11/24/2014 10:10:00 PM,037XX W ROOSEVELT RD,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1011,010,24,29,03,1151547,1894411,2014,12/01/2014 12:41:33 PM,41.866142985,-87.719133951,"(41.866142985; -87.719133951)"
9868837,HX519485,11/24/2014 10:00:00 PM,014XX W ELMDALE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,false,false,2013,020,48,77,11,1165645,1939921,2014,12/01/2014 12:41:33 PM,41.990736555,-87.666078899,"(41.990736555; -87.666078899)"
9868916,HX519477,11/24/2014 10:00:00 PM,011XX W 83RD ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,0613,006,21,71,06,1170233,1849804,2014,12/01/2014 12:41:33 PM,41.74334925,-87.651834709,"(41.74334925; -87.651834709)"
9868946,HX519488,11/24/2014 10:00:00 PM,065XX N RICHMOND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2412,024,50,2,08B,1155521,1943204,2014,12/01/2014 12:41:33 PM,41.999955665,-87.703228541,"(41.999955665; -87.703228541)"
9869652,HX519855,11/24/2014 10:00:00 PM,042XX S DREXEL BLVD,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0214,002,4,36,06,1182864,1876830,2014,12/01/2014 12:41:33 PM,41.817227249,-87.604715287,"(41.817227249; -87.604715287)"
9868974,HX519581,11/24/2014 10:00:00 PM,017XX S STATE ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,JAIL / LOCK-UP FACILITY,true,false,0131,001,3,33,14,1176569,1891773,2014,12/01/2014 12:41:33 PM,41.858376151,-87.627356324,"(41.858376151; -87.627356324)"
9868844,HX519454,11/24/2014 10:00:00 PM,0000X E CHICAGO AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESTAURANT,false,false,1833,018,42,8,26,1176344,1905771,2014,12/01/2014 12:41:33 PM,41.896792558,-87.62775981,"(41.896792558; -87.62775981)"
9868877,HX519480,11/24/2014 09:55:00 PM,051XX W WASHINGTON BLVD,2026,NARCOTICS,POSS: PCP,STREET,true,false,1533,015,28,25,18,1142342,1899983,2014,12/01/2014 12:41:33 PM,41.881609015,-87.752788298,"(41.881609015; -87.752788298)"
9868897,HX519452,11/24/2014 09:45:00 PM,056XX S MARSHFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0715,007,15,67,08B,1166260,1867468,2014,12/01/2014 12:41:33 PM,41.791907042,-87.665889796,"(41.791907042; -87.665889796)"
9868838,HX519436,11/24/2014 09:38:00 PM,064XX S CHAMPLAIN AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,false,false,0312,003,20,42,26,1181636,1862395,2014,12/01/2014 12:41:33 PM,41.777644853,-87.609665645,"(41.777644853; -87.609665645)"
9868849,HX519458,11/24/2014 09:35:00 PM,102XX S LAFAYETTE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,0511,005,9,49,18,1177773,1836886,2014,12/01/2014 12:41:33 PM,41.707733402,-87.624597538,"(41.707733402; -87.624597538)"
9868801,HX519426,11/24/2014 09:33:00 PM,061XX S EBERHART AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,0313,003,20,42,18,1180604,1864077,2014,12/01/2014 12:41:33 PM,41.782284193,-87.613397308,"(41.782284193; -87.613397308)"
